size     iter       time                    comment
--------------------------------------------------------------
40 		 1000 		 1.569   6 trivial lattice nn 

40 		 1000 		 1.593   6 trivial lattice nn 

40 		 1000 		 1.554     

20 		 1000 		 0.633   test row 

20 		 1000 		 0.663   test row 

30 		 1000 		 1.316   test row 

40 		 1000 		 2.202   test row 

50 		 1000 		 3.024   test row 

60 		 1000 		 4.070   test row 

70 		 1000 		 4.959   test row 

80 		 1000 		 5.992   test row 

90 		 1000 		 6.632   test row 

100 	 1000 		 7.463   test row 

20 		 100000 	 18.71   test row 

30 		 100000 	 60.30   test row 

40 		 100000 	 233.6   test row 

50 		 100000 	 635.2   test row 

60 		 100000 	 2535.   test row 

70 		 100000 	 6259.   test row 

10 		 10 		 0.078   checking for runabilty 

50 		 10000 		 20.14   checking for runabilty 

40 		 1000 		 1.836   checking for runabilty 

40 		 1000 		 1.349   checking for runabilty 

40 		 1000 		 1.361   python 2.7 test 

60 		 100000 	 786.9   python 2.7 test @uni 

50 		 10000 		 23.78   twin planes test @uni 

50 		 100 		 2.032   twin planes test @uni 

50 		 100 		 1.787   twin planes test @uni 

50 		 100 		 1.680   twin planes test @uni 

50 		 100 		 1.581   twin planes test @uni 

50 		 100 		 5.517   twin planes test @uni 

50 		 100 		 5.586   twin planes test @uni 

50 		 0   		 5.475 	 twin planes test @uni 

20 		 0 	    	 0.364 	 twin planes test @uni 

20 		 0 		     0.434 	 twin planes test @uni 

20 		 100 		 0.475 	 twin planes test @uni 

20 		 100 		 0.443 	 twin planes test @uni 

20 		 10 		 0.426 	 twin planes test @uni 

20 		 0   		 0.469   status march2014 

40 		 1000 		 3.878 	 status march2014 

40 		 1000 		 3.978 	 status march2014 

40 		 1000 		 3.783 	 status march2014 

40 		 1000 		 3.705	 status march2014 

40 		 1000 		 4.784 	 status march2014 

40 		 10 		 4.412 	 status march2014 

40 		 10 		 4.418 	 status march2014 

40 		 10 		 4.426 	 status march2014 

40 		 10 		 4.546 	 status march2014 

40 		 10 		 4.582 	 status march2014 

40 		 0 	    	 4.649	 status march2014 

40 		 0 	    	 4.572   status march2014 

40 		 0 	    	 4.598   status march2014 

40 		 0 	    	 4.885	 status march2014 

40 		 0 	    	 5.089	 status march2014 

40 		 0 	    	 5.288	 status march2014 

40 		 0 	    	 4.408	 status march2014 

40 		 0 	    	 4.386	 status march2014 

40 		 0 	    	 4.318   status march2014 

20 		 0 	    	 0.537 	 status march2014 

20 		 0 	    	 0.552 	 status march2014 

20 		 0 	    	 0.657 	 status march2014 

20 		 0 	    	 0.676 	 status march2014 

20 		 0 	    	 0.510 	 status march2014 

20 		 0 	    	 0.499 	 status march2014 

20 		 0 	    	 0.515 	 status march2014 

20 		 0 	    	 0.495 	 status march2014 

20 		 0 	    	 0.655 	 status march2014 

20 		 0 	    	 0.630 	 status march2014 

20 		 0 	    	 0.612 	 status march2014 

20 		 0 	    	 0.401 	 status march2014 

20 		 0 	    	 0.409 	 status march2014 

20 		 0 	    	 0.456 	 status march2014 

20 		 0 	    	 0.604 	 status march2014 

20 		 0 	    	 0.843 	 status march2014 

20 		 0 	    	 0.844 	 status march2014 

40 		 0 	    	 4.629 	 status march2014 

40 		 0 	    	 4.374 	 status march2014 

40 		 0 	    	 4.229 	 status march2014 

40 		 0 	    	 4.582 	 status march2014 

20 		 0 	    	 0.695   status march2014 

20 		 0 	    	 0.693   status march2014 

20 		 0 	    	 0.693   status march2014 

20 		 0 	    	 0.693   status march2014 

25 		 0 	    	 1.754 	 status march2014 

25 		 0 	    	 1.793 	 status march2014 

25 		 0 	    	 1.773 	 status march2014 

25 		 0 	    	 1.770 	 status march2014 

25 		 0 	    	 1.377 	 status march2014 

25 		 0 	    	 0.707 	 status march2014 

35 		 1000 		 2.381 	 status march2014 

35 		 1000 		 2.347 	 status march2014 

35 		 1000 		 2.398	 status march2014 

35 		 1000 		 2.376 	 status march2014 

35 		 1000 		 2.463	 status march2014 

40 		 10000 		 20.85 	 status march2014 

30 		 100 		 1.22 	 status march2014 

30 		 100 		 1.228 	 status march2014 

30 		 100 		 1.187 	 twin planes completed 

100 	 100 		 39.569  twin planes completed 

20 		 100 		 0.455 	 twin planes completed 

20 		 100 		 0.465 	 twin planes completed 

20 		 100 		 0.462 	 twin planes completed 

20 		 100 		 0.465 	 twin planes completed 

20 		 100 		 0.460 	 twin planes completed 

20 		 100 		 0.459 	 twin planes completed 

20 		 100 		 0.453 	 twin planes completed 

20 		 100 		 0.420 	 twin planes completed 

20 		 100 		 0.433 	 twin planes completed 

20 		 100 		 0.430 	 twin planes completed 

20 		 100 		 0.442 	 twin planes completed 

20 		 100 		 0.419 	 twin planes completed 

20 		 100 		 0.434 	 twin planes completed 

20 		 100 		 0.464 	 twin planes completed 

20 		 100 		 0.460 	 twin planes completed 

20 		 100 		 0.507 	 twin planes completed 

20 		 100 		 0.510 	 twin planes completed 

20 		 100 		 0.566 	 twin planes completed 

20 		 100 		 0.569 	 twin planes completed 

20 		 100 		 0.560 	 twin planes completed 

20 		 100 		 0.592 	 twin planes completed 

20 		 100 		 0.593 	 twin planes completed 

40 		 10000 		 22.992  twin planes completed 

40 		 1000 		 3.788 	 twin planes completed 

40 		 1000 		 3.747 	 twin planes completed 

40 		 1000 		 3.722 	 twin planes completed 

40 		 1000 		 3.758 	 twin planes completed 

40 		 1000 		 3.702 	 twin planes completed 

40 		 10 		 3.153 	 twin planes completed 

40 		 10 		 3.188 	 twin planes completed 

40 		 10 		 3.180 	 twin planes completed 

40 		 1000 		 3.779 	 twin planes completed 

40 		 1000 		 3.395 	 twin planes completed 

20 		 1000 		 0.782 	 twin planes completed 

20 		 1000 		 0.831 	 twin planes completed 

10 		 1000 		 0.281 	 twin planes completed 

20 		 1000 		 0.787 	 twin planes completed 

20 		 1000 		 0.805 	 twin planes completed 

20 		 1000 		 1.038 	 twin planes completed 

20 		 1000 		 1.096 	 twin planes completed 

20 		 1000 		 1.245 	 twin planes completed 

20 		 1000 		 1.216 	 twin planes completed 

20 		 1000 		 1.189 	 twin planes completed 

20 		 1000 		 1.348 	 twin planes completed 

20 		 1000 		 1.288 	 twin planes completed 

20 		 1000 		 1.246 	 twin planes completed 

20 		 1000 		 1.745 	 twin planes completed 

20 		 10 		 0.396 	 twin planes completed 

20 		 100 		 0.453 	 twin planes completed 

20 		 100 		 0.608 	 twin planes completed 

20 		 100 		 0.608 	 twin planes completed 

20 		 100 		 0.472 	 twin planes completed 

20 		 100 		 0.456 	 twin planes completed 

20 		 100 		 0.454 	 twin planes completed 

20 		 100 		 0.458 	 twin planes completed 

20 		 100 		 0.452 	 twin planes completed 

20 		 100 		 0.457 	 twin planes completed 

20 		 100 		 0.450 	 twin planes completed 

20 		 100 		 0.453 	 twin planes completed 

20 		 100 		 0.450 	 twin planes completed 

20 		 100 		 0.454 	 twin planes completed 

20 		 100 		 0.451 	 twin planes completed 

20 		 100 		 0.456 	 twin planes completed 

20 		 100 		 0.448 	 twin planes completed 

20 		 100 		 0.447 	 twin planes completed 

20 		 10 		 0.403 	 twin planes completed 

20 		 10 		 0.391 	 twin planes completed 

20 		 10 		 0.394 	 twin planes completed 

20 		 10 		 0.399 	 twin planes completed 

20 		 100 		 0.446 	 twin planes completed 

20 		 100 		 0.458 	 twin planes completed 

20 		 100 		 0.449 	 twin planes completed 

20 		 100 		 0.610 	 twin planes completed 

20 		 100 		 0.447 	 twin planes completed 

20 		 100 		 0.447 	 twin planes completed 

20 		 100 		 0.609 	 twin planes completed 

20 		 100 		 0.446 	 twin planes completed 

20 		 100 		 0.612 	 twin planes completed 

20 		 100 		 0.454 	 twin planes completed 

20 		 100 		 0.629 	 twin planes completed 

20 		 100 		 0.437 	 twin planes completed 

20 		 1000 		 1.677 	 twin planes completed 

20 		 1000 		 4.431 	 twin planes completed 

20 		 1000 		 4.360 	 twin planes completed 

20 		 1000 		 4.464 	 twin planes completed 

20 		 1000 		 4.413 	 twin planes completed 

40 		 100 		 3.237 	 twin planes completed 

40 		 100 		 3.237 	 twin planes completed 

40 		 100 		 3.812 	 twin planes completed 

30 		 1000 		 11.190 	 twin planes completed 

30 		 1000 		 14.016 	 twin planes completed 

30 		 5000 		 193.835 	 twin planes completed 

30 		 0 		 1.309 	 twin planes completed 

30 		 100 		 1.683 	 probabilty dependant on attaches 

30 		 100 		 1.619 	 probabilty dependant on attaches 

30 		 1000 		 10.726 	 probabilty dependant on attaches 

30 		 0 		 1.264 	 probabilty dependant on attaches 

30 		 0 		 1.277 	 probabilty dependant on attaches 

30 		 0 		 1.291 	 probabilty dependant on attaches 

30 		 1000 		 10.777 	 probabilty dependant on attaches 

30 		 1000 		 8.976 	 probabilty dependant on attaches 

30 		 1000 		 9.912 	 probabilty dependant on attaches 

30 		 1000 		 47.696 	 probabilty dependant on attaches 

30 		 0 		 1.386 	 probabilty dependant on attaches 

30 		 0 		 1.398 	 probabilty dependant on attaches 

30 		 100 		 2.469 	 probabilty dependant on attaches 

30 		 300 		 6.977 	 probabilty dependant on attaches 

30 		 500 		 14.957 	 probabilty dependant on attaches 

30 		 1000 		 47.387 	 probabilty dependant on attaches 

30 		 0 		 1.676 	 probabilty dependant on attaches 

30 		 100 		 3.084 	 probabilty dependant on attaches 

30 		 0 		 1.672 	 probabilty dependant on attaches 

30 		 100 		 3.059 	 probabilty dependant on attaches 

30 		 300 		 9.318 	 probabilty dependant on attaches 

30 		 500 		 19.966 	 probabilty dependant on attaches 

30 		 1000 		 64.598 	 probabilty dependant on attaches 

30 		 0 		 1.689 	 probabilty dependant on attaches 

30 		 100 		 3.058 	 probabilty dependant on attaches 

30 		 300 		 9.148 	 probabilty dependant on attaches 

30 		 500 		 20.023 	 probabilty dependant on attaches 

30 		 1000 		 64.335 	 probabilty dependant on attaches 

